Year,Сomponent of the index,Region,Age,Gender,Value
2017,relations with government and safety,Dnipropetrovsk,,males,
2018,relations with government and safety,Dnipropetrovsk,,males,0.9
2019,relations with government and safety,Dnipropetrovsk,,males,
2017,relations with government and safety,Dnipropetrovsk,,females,
2018,relations with government and safety,Dnipropetrovsk,,females,0.8
2019,relations with government and safety,Dnipropetrovsk,,females,
2017,relations with government and safety,Zaporizhya,18-35 years,,
2018,relations with government and safety,Zaporizhya,18-35 years,,1.4
2019,relations with government and safety,Zaporizhya,18-35 years,,
2017,relations with government and safety,Zaporizhya,36-60 years,,
2018,relations with government and safety,Zaporizhya,36-60 years,,1.3
2019,relations with government and safety,Zaporizhya,36-60 years,,
2017,relations with government and safety,Zaporizhya,over 61 years,,
2018,relations with government and safety,Zaporizhya,over 61 years,,0.7
2019,relations with government and safety,Zaporizhya,over 61 years,,
2017,relations with government and safety,Zaporizhya,,males,
2018,relations with government and safety,Zaporizhya,,males,1.2
2019,relations with government and safety,Zaporizhya,,males,
2017,relations with government and safety,Zaporizhya,,females,
2018,relations with government and safety,Zaporizhya,,females,1.1
2019,relations with government and safety,Zaporizhya,,females,
2017,relations with government and safety,Kharkiv,18-35 years,,
2018,relations with government and safety,Kharkiv,18-35 years,,1.5
2019,relations with government and safety,Kharkiv,18-35 years,,
2017,relations with government and safety,Kharkiv,36-60 years,,
2018,relations with government and safety,Kharkiv,36-60 years,,1.3
2019,relations with government and safety,Kharkiv,36-60 years,,
2017,relations with government and safety,Kharkiv,over 61 years,,
2018,relations with government and safety,Kharkiv,over 61 years,,0.8
2019,relations with government and safety,Kharkiv,over 61 years,,
2017,relations with government and safety,Kharkiv,,males,
2018,relations with government and safety,Kharkiv,,males,1.3
2019,relations with government and safety,Kharkiv,,males,
2017,relations with government and safety,Kharkiv,,females,
2018,relations with government and safety,Kharkiv,,females,1.2
2019,relations with government and safety,Kharkiv,,females,
2017,relations between groups,Donetsk,18-35 years,,
2018,relations between groups,Donetsk,18-35 years,,2.5
2019,relations between groups,Donetsk,18-35 years,,6.5
2017,relations between groups,Donetsk,36-60 years,,
2018,relations between groups,Donetsk,36-60 years,,2.4
2019,relations between groups,Donetsk,36-60 years,,6.4
2017,relations between groups,Donetsk,over 61 years,,
2018,relations between groups,Donetsk,over 61 years,,1.7
2019,relations between groups,Donetsk,over 61 years,,5.9
2017,relations between groups,Donetsk,,males,
2018,relations between groups,Donetsk,,males,2.4
2019,relations between groups,Donetsk,,males,6.5
2017,relations between groups,Donetsk,,females,
2018,relations between groups,Donetsk,,females,2.1
2019,relations between groups,Donetsk,,females,6.1
2017,relations between groups,Luhansk,18-35 years,,
2018,relations between groups,Luhansk,18-35 years,,2.9
2019,relations between groups,Luhansk,18-35 years,,6.0
2017,relations between groups,Luhansk,36-60 years,,
2018,relations between groups,Luhansk,36-60 years,,2.7
2019,relations between groups,Luhansk,36-60 years,,6.0
2017,relations between groups,Luhansk,over 61 years,,
2018,relations between groups,Luhansk,over 61 years,,2.1
2019,relations between groups,Luhansk,over 61 years,,5.1
2017,relations between groups,Luhansk,,males,
2018,relations between groups,Luhansk,,males,2.8
2019,relations between groups,Luhansk,,males,5.9
2017,relations between groups,Luhansk,,females,
2018,relations between groups,Luhansk,,females,2.4
2019,relations between groups,Luhansk,,females,5.6
2017,relations between groups,Dnipropetrovsk,18-35 years,,
2018,relations between groups,Dnipropetrovsk,18-35 years,,2.7
2019,relations between groups,Dnipropetrovsk,18-35 years,,
2017,relations between groups,Dnipropetrovsk,36-60 years,,
2018,relations between groups,Dnipropetrovsk,36-60 years,,2.2
2019,relations between groups,Dnipropetrovsk,36-60 years,,
2017,relations between groups,Dnipropetrovsk,over 61 years,,
2018,relations between groups,Dnipropetrovsk,over 61 years,,1.7
2019,relations between groups,Dnipropetrovsk,over 61 years,,
2017,relations between groups,Dnipropetrovsk,,males,
2018,relations between groups,Dnipropetrovsk,,males,2.5
2019,relations between groups,Dnipropetrovsk,,males,
2017,relations between groups,Dnipropetrovsk,,females,
2018,relations between groups,Dnipropetrovsk,,females,2.0
2019,relations between groups,Dnipropetrovsk,,females,
2017,relations between groups,Zaporizhya,18-35 years,,
2018,relations between groups,Zaporizhya,18-35 years,,2.9
2019,relations between groups,Zaporizhya,18-35 years,,
2017,relations between groups,Zaporizhya,36-60 years,,
2018,relations between groups,Zaporizhya,36-60 years,,2.9
2019,relations between groups,Zaporizhya,36-60 years,,
2017,relations between groups,Zaporizhya,over 61 years,,
2018,relations between groups,Zaporizhya,over 61 years,,2.3
2019,relations between groups,Zaporizhya,over 61 years,,
2017,relations between groups,Zaporizhya,,males,
2018,relations between groups,Zaporizhya,,males,3.0
2019,relations between groups,Zaporizhya,,males,
2017,relations between groups,Zaporizhya,,females,
2018,relations between groups,Zaporizhya,,females,2.5
2019,relations between groups,Zaporizhya,,females,
2017,relations between groups,Kharkiv,18-35 years,,
2018,relations between groups,Kharkiv,18-35 years,,2.9
2019,relations between groups,Kharkiv,18-35 years,,
2017,relations between groups,Kharkiv,36-60 years,,
2018,relations between groups,Kharkiv,36-60 years,,2.7
2019,relations between groups,Kharkiv,36-60 years,,
2017,relations between groups,Kharkiv,over 61 years,,
2018,relations between groups,Kharkiv,over 61 years,,2.0
2019,relations between groups,Kharkiv,over 61 years,,
2017,relations between groups,Kharkiv,,males,
2018,relations between groups,Kharkiv,,males,2.8
2019,relations between groups,Kharkiv,,males,
2017,relations between groups,Kharkiv,,females,
2018,relations between groups,Kharkiv,,females,2.5
2019,relations between groups,Kharkiv,,females,
2017,psycho-social activity,Donetsk,18-35 years,,
2018,psycho-social activity,Donetsk,18-35 years,,1.9
2019,psycho-social activity,Donetsk,18-35 years,,5.1
2017,psycho-social activity,Donetsk,36-60 years,,
2018,psycho-social activity,Donetsk,36-60 years,,1.9
2019,psycho-social activity,Donetsk,36-60 years,,4.8
2017,psycho-social activity,Donetsk,over 61 years,,
2018,psycho-social activity,Donetsk,over 61 years,,1.0
2019,psycho-social activity,Donetsk,over 61 years,,4.8
2017,psycho-social activity,Donetsk,,males,
2018,psycho-social activity,Donetsk,,males,2.5
2019,psycho-social activity,Donetsk,,males,5.2
2017,psycho-social activity,Donetsk,,females,
2018,psycho-social activity,Donetsk,,females,0.9
2019,psycho-social activity,Donetsk,,females,4.6
2017,psycho-social activity,Luhansk,18-35 years,,
2018,psycho-social activity,Luhansk,18-35 years,,2.2
2019,psycho-social activity,Luhansk,18-35 years,,4.7
2017,psycho-social activity,Luhansk,36-60 years,,
2018,psycho-social activity,Luhansk,36-60 years,,1.7
2019,psycho-social activity,Luhansk,36-60 years,,4.6
2017,psycho-social activity,Luhansk,over 61 years,,
2018,psycho-social activity,Luhansk,over 61 years,,1.0
2019,psycho-social activity,Luhansk,over 61 years,,4.4
2017,psycho-social activity,Luhansk,,males,
2018,psycho-social activity,Luhansk,,males,2.4
2019,psycho-social activity,Luhansk,,males,5.0
2017,psycho-social activity,Luhansk,,females,
2018,psycho-social activity,Luhansk,,females,1.0
2019,psycho-social activity,Luhansk,,females,4.3
2017,psycho-social activity,Dnipropetrovsk,18-35 years,,
2018,psycho-social activity,Dnipropetrovsk,18-35 years,,2.1
2019,psycho-social activity,Dnipropetrovsk,18-35 years,,
2017,psycho-social activity,Dnipropetrovsk,36-60 years,,
2018,psycho-social activity,Dnipropetrovsk,36-60 years,,2.0
2019,psycho-social activity,Dnipropetrovsk,36-60 years,,
2017,psycho-social activity,Dnipropetrovsk,over 61 years,,
2018,psycho-social activity,Dnipropetrovsk,over 61 years,,1.4
2019,psycho-social activity,Dnipropetrovsk,over 61 years,,
2017,psycho-social activity,Dnipropetrovsk,,males,
2018,psycho-social activity,Dnipropetrovsk,,males,2.5
2019,psycho-social activity,Dnipropetrovsk,,males,
2017,psycho-social activity,Dnipropetrovsk,,females,
2018,psycho-social activity,Dnipropetrovsk,,females,1.4
2019,psycho-social activity,Dnipropetrovsk,,females,
2017,psycho-social activity,Zaporizhya,18-35 years,,
2018,psycho-social activity,Zaporizhya,18-35 years,,2.5
2019,psycho-social activity,Zaporizhya,18-35 years,,
2017,psycho-social activity,Zaporizhya,36-60 years,,
2018,psycho-social activity,Zaporizhya,36-60 years,,2.2
2019,psycho-social activity,Zaporizhya,36-60 years,,
2017,psycho-social activity,Zaporizhya,over 61 years,,
2018,psycho-social activity,Zaporizhya,over 61 years,,1.1
2019,psycho-social activity,Zaporizhya,over 61 years,,
2017,psycho-social activity,Zaporizhya,,males,
2018,psycho-social activity,Zaporizhya,,males,2.9
2019,psycho-social activity,Zaporizhya,,males,
2017,psycho-social activity,Zaporizhya,,females,
2018,psycho-social activity,Zaporizhya,,females,1.2
2019,psycho-social activity,Zaporizhya,,females,
2017,psycho-social activity,Kharkiv,18-35 years,,
2018,psycho-social activity,Kharkiv,18-35 years,,2.3
2019,psycho-social activity,Kharkiv,18-35 years,,
2017,psycho-social activity,Kharkiv,36-60 years,,
2018,psycho-social activity,Kharkiv,36-60 years,,1.9
2019,psycho-social activity,Kharkiv,36-60 years,,
2017,psycho-social activity,Kharkiv,over 61 years,,
2018,psycho-social activity,Kharkiv,over 61 years,,1.0
2019,psycho-social activity,Kharkiv,over 61 years,,
2017,psycho-social activity,Kharkiv,,males,
2018,psycho-social activity,Kharkiv,,males,2.5
2019,psycho-social activity,Kharkiv,,males,
2017,psycho-social activity,Kharkiv,,females,
2018,psycho-social activity,Kharkiv,,females,1.2
2019,psycho-social activity,Kharkiv,,females,
2017,tolerant and active citizenship,Donetsk,18-35 years,,
2018,tolerant and active citizenship,Donetsk,18-35 years,,2.0
2019,tolerant and active citizenship,Donetsk,18-35 years,,4.9
2017,tolerant and active citizenship,Donetsk,36-60 years,,
2018,tolerant and active citizenship,Donetsk,36-60 years,,2.3
2019,tolerant and active citizenship,Donetsk,36-60 years,,4.0
2017,tolerant and active citizenship,Donetsk,over 61 years,,
2018,tolerant and active citizenship,Donetsk,over 61 years,,2.3
2019,tolerant and active citizenship,Donetsk,over 61 years,,2.3
2017,tolerant and active citizenship,Donetsk,,males,
2018,tolerant and active citizenship,Donetsk,,males,2.0
2019,tolerant and active citizenship,Donetsk,,males,4.3
2017,tolerant and active citizenship,Donetsk,,females,
2018,tolerant and active citizenship,Donetsk,,females,2.4
2019,tolerant and active citizenship,Donetsk,,females,3.2
2017,tolerant and active citizenship,Luhansk,18-35 years,,
2018,tolerant and active citizenship,Luhansk,18-35 years,,1.9
2019,tolerant and active citizenship,Luhansk,18-35 years,,5.8
2017,tolerant and active citizenship,Luhansk,36-60 years,,
2018,tolerant and active citizenship,Luhansk,36-60 years,,2.5
2019,tolerant and active citizenship,Luhansk,36-60 years,,5.0
2017,tolerant and active citizenship,Luhansk,over 61 years,,
2018,tolerant and active citizenship,Luhansk,over 61 years,,2.2
2019,tolerant and active citizenship,Luhansk,over 61 years,,3.0
2017,tolerant and active citizenship,Luhansk,,males,
2018,tolerant and active citizenship,Luhansk,,males,2.1
2019,tolerant and active citizenship,Luhansk,,males,5.4
2017,tolerant and active citizenship,Luhansk,,females,
2018,tolerant and active citizenship,Luhansk,,females,2.4
2019,tolerant and active citizenship,Luhansk,,females,3.9
2017,tolerant and active citizenship,Dnipropetrovsk,18-35 years,,
2018,tolerant and active citizenship,Dnipropetrovsk,18-35 years,,2.2
2019,tolerant and active citizenship,Dnipropetrovsk,18-35 years,,
2017,tolerant and active citizenship,Dnipropetrovsk,36-60 years,,
2018,tolerant and active citizenship,Dnipropetrovsk,36-60 years,,2.8
2019,tolerant and active citizenship,Dnipropetrovsk,36-60 years,,
2017,tolerant and active citizenship,Dnipropetrovsk,over 61 years,,
2018,tolerant and active citizenship,Dnipropetrovsk,over 61 years,,3.1
2019,tolerant and active citizenship,Dnipropetrovsk,over 61 years,,
2017,tolerant and active citizenship,Dnipropetrovsk,,males,
2018,tolerant and active citizenship,Dnipropetrovsk,,males,2.5
2019,tolerant and active citizenship,Dnipropetrovsk,,males,
2017,tolerant and active citizenship,Dnipropetrovsk,,females,
2018,tolerant and active citizenship,Dnipropetrovsk,,females,2.8
2019,tolerant and active citizenship,Dnipropetrovsk,,females,
2017,tolerant and active citizenship,Zaporizhya,18-35 years,,
2018,tolerant and active citizenship,Zaporizhya,18-35 years,,2.2
2019,tolerant and active citizenship,Zaporizhya,18-35 years,,
2017,tolerant and active citizenship,Zaporizhya,36-60 years,,
2018,tolerant and active citizenship,Zaporizhya,36-60 years,,2.8
2019,tolerant and active citizenship,Zaporizhya,36-60 years,,
2017,tolerant and active citizenship,Zaporizhya,over 61 years,,
2018,tolerant and active citizenship,Zaporizhya,over 61 years,,2.6
2019,tolerant and active citizenship,Zaporizhya,over 61 years,,
2017,tolerant and active citizenship,Zaporizhya,,males,
2018,tolerant and active citizenship,Zaporizhya,,males,2.3
2019,tolerant and active citizenship,Zaporizhya,,males,
2017,tolerant and active citizenship,Zaporizhya,,females,
2018,tolerant and active citizenship,Zaporizhya,,females,2.7
2019,tolerant and active citizenship,Zaporizhya,,females,
2017,tolerant and active citizenship,Kharkiv,18-35 years,,
2018,tolerant and active citizenship,Kharkiv,18-35 years,,1.9
2019,tolerant and active citizenship,Kharkiv,18-35 years,,
2017,tolerant and active citizenship,Kharkiv,36-60 years,,
2018,tolerant and active citizenship,Kharkiv,36-60 years,,2.3
2019,tolerant and active citizenship,Kharkiv,36-60 years,,
2017,tolerant and active citizenship,Kharkiv,over 61 years,,
2018,tolerant and active citizenship,Kharkiv,over 61 years,,2.6
2019,tolerant and active citizenship,Kharkiv,over 61 years,,
2017,tolerant and active citizenship,Kharkiv,,males,
2018,tolerant and active citizenship,Kharkiv,,males,2.1
2019,tolerant and active citizenship,Kharkiv,,males,
2017,tolerant and active citizenship,Kharkiv,,females,
2018,tolerant and active citizenship,Kharkiv,,females,2.4
2019,tolerant and active citizenship,Kharkiv,,females,
2017,propensity to migrate,Donetsk,18-35 years,,
2018,propensity to migrate,Donetsk,18-35 years,,
2019,propensity to migrate,Donetsk,18-35 years,,5.2
2017,propensity to migrate,Donetsk,36-60 years,,
2018,propensity to migrate,Donetsk,36-60 years,,
2019,propensity to migrate,Donetsk,36-60 years,,3.9
2017,propensity to migrate,Donetsk,over 61 years,,
2018,propensity to migrate,Donetsk,over 61 years,,
2019,propensity to migrate,Donetsk,over 61 years,,2.3
2017,propensity to migrate,Donetsk,,males,
2018,propensity to migrate,Donetsk,,males,
2019,propensity to migrate,Donetsk,,males,3.9
2017,propensity to migrate,Donetsk,,females,
2018,propensity to migrate,Donetsk,,females,
2019,propensity to migrate,Donetsk,,females,3.6
2017,propensity to migrate,Luhansk,18-35 years,,
2018,propensity to migrate,Luhansk,18-35 years,,
2019,propensity to migrate,Luhansk,18-35 years,,6.2
2017,propensity to migrate,Luhansk,36-60 years,,
2018,propensity to migrate,Luhansk,36-60 years,,
2019,propensity to migrate,Luhansk,36-60 years,,4.4
2017,propensity to migrate,Luhansk,over 61 years,,
2018,propensity to migrate,Luhansk,over 61 years,,
2019,propensity to migrate,Luhansk,over 61 years,,1.7
2017,propensity to migrate,Luhansk,,males,
2018,propensity to migrate,Luhansk,,males,
2019,propensity to migrate,Luhansk,,males,4.4
2017,propensity to migrate,Luhansk,,females,
2018,propensity to migrate,Luhansk,,females,
2019,propensity to migrate,Luhansk,,females,3.7
2017,propensity to migrate,Dnipropetrovsk,18-35 years,,
2018,propensity to migrate,Dnipropetrovsk,18-35 years,,
2019,propensity to migrate,Dnipropetrovsk,18-35 years,,
2017,propensity to migrate,Dnipropetrovsk,36-60 years,,
2018,propensity to migrate,Dnipropetrovsk,36-60 years,,
2019,propensity to migrate,Dnipropetrovsk,36-60 years,,
2017,propensity to migrate,Dnipropetrovsk,over 61 years,,
2018,propensity to migrate,Dnipropetrovsk,over 61 years,,
2019,propensity to migrate,Dnipropetrovsk,over 61 years,,
2017,propensity to migrate,Dnipropetrovsk,,males,
2018,propensity to migrate,Dnipropetrovsk,,males,
2019,propensity to migrate,Dnipropetrovsk,,males,
2017,propensity to migrate,Dnipropetrovsk,,females,
2018,propensity to migrate,Dnipropetrovsk,,females,
2019,propensity to migrate,Dnipropetrovsk,,females,
2017,propensity to migrate,Zaporizhya,18-35 years,,
2018,propensity to migrate,Zaporizhya,18-35 years,,
2019,propensity to migrate,Zaporizhya,18-35 years,,
2017,propensity to migrate,Zaporizhya,36-60 years,,
2018,propensity to migrate,Zaporizhya,36-60 years,,
2019,propensity to migrate,Zaporizhya,36-60 years,,
2017,propensity to migrate,Zaporizhya,over 61 years,,
2018,propensity to migrate,Zaporizhya,over 61 years,,
2019,propensity to migrate,Zaporizhya,over 61 years,,
2017,propensity to migrate,Zaporizhya,,males,
2018,propensity to migrate,Zaporizhya,,males,
2019,propensity to migrate,Zaporizhya,,males,
2017,propensity to migrate,Zaporizhya,,females,
2018,propensity to migrate,Zaporizhya,,females,
2019,propensity to migrate,Zaporizhya,,females,
2017,propensity to migrate,Kharkiv,18-35 years,,
2018,propensity to migrate,Kharkiv,18-35 years,,
2019,propensity to migrate,Kharkiv,18-35 years,,
2017,propensity to migrate,Kharkiv,36-60 years,,
2018,propensity to migrate,Kharkiv,36-60 years,,
2019,propensity to migrate,Kharkiv,36-60 years,,
2017,propensity to migrate,Kharkiv,over 61 years,,
2018,propensity to migrate,Kharkiv,over 61 years,,
2019,propensity to migrate,Kharkiv,over 61 years,,
2017,propensity to migrate,Kharkiv,,males,
2018,propensity to migrate,Kharkiv,,males,
2019,propensity to migrate,Kharkiv,,males,
2017,propensity to migrate,Kharkiv,,females,
2018,propensity to migrate,Kharkiv,,females,
2019,propensity to migrate,Kharkiv,,females,
2017,cooperation in the community,Donetsk,18-35 years,,
2018,cooperation in the community,Donetsk,18-35 years,,
2019,cooperation in the community,Donetsk,18-35 years,,4.7
2017,cooperation in the community,Donetsk,36-60 years,,
2018,cooperation in the community,Donetsk,36-60 years,,
2019,cooperation in the community,Donetsk,36-60 years,,5.2
2017,cooperation in the community,Donetsk,over 61 years,,
2018,cooperation in the community,Donetsk,over 61 years,,
2019,cooperation in the community,Donetsk,over 61 years,,5.9
2017,cooperation in the community,Donetsk,,males,
2018,cooperation in the community,Donetsk,,males,
2019,cooperation in the community,Donetsk,,males,5.0
2017,cooperation in the community,Donetsk,,females,
2018,cooperation in the community,Donetsk,,females,
2019,cooperation in the community,Donetsk,,females,5.5
2017,cooperation in the community,Luhansk,18-35 years,,
2018,cooperation in the community,Luhansk,18-35 years,,
2019,cooperation in the community,Luhansk,18-35 years,,4.9
2017,cooperation in the community,Luhansk,36-60 years,,
2018,cooperation in the community,Luhansk,36-60 years,,
2019,cooperation in the community,Luhansk,36-60 years,,5.4
2017,cooperation in the community,Luhansk,over 61 years,,
2018,cooperation in the community,Luhansk,over 61 years,,
2019,cooperation in the community,Luhansk,over 61 years,,5.9
2017,cooperation in the community,Luhansk,,males,
2018,cooperation in the community,Luhansk,,males,
2019,cooperation in the community,Luhansk,,males,5.1
2017,cooperation in the community,Luhansk,,females,
2018,cooperation in the community,Luhansk,,females,
2019,cooperation in the community,Luhansk,,females,5.7
2017,cooperation in the community,Dnipropetrovsk,18-35 years,,
2018,cooperation in the community,Dnipropetrovsk,18-35 years,,
2019,cooperation in the community,Dnipropetrovsk,18-35 years,,
2017,cooperation in the community,Dnipropetrovsk,36-60 years,,
2018,cooperation in the community,Dnipropetrovsk,36-60 years,,
2019,cooperation in the community,Dnipropetrovsk,36-60 years,,
2017,cooperation in the community,Dnipropetrovsk,over 61 years,,
2018,cooperation in the community,Dnipropetrovsk,over 61 years,,
2019,cooperation in the community,Dnipropetrovsk,over 61 years,,
2017,cooperation in the community,Dnipropetrovsk,,males,
2018,cooperation in the community,Dnipropetrovsk,,males,
2019,cooperation in the community,Dnipropetrovsk,,males,
2017,cooperation in the community,Dnipropetrovsk,,females,
2018,cooperation in the community,Dnipropetrovsk,,females,
2019,cooperation in the community,Dnipropetrovsk,,females,
2017,cooperation in the community,Zaporizhya,18-35 years,,
2018,cooperation in the community,Zaporizhya,18-35 years,,
2019,cooperation in the community,Zaporizhya,18-35 years,,
2017,cooperation in the community,Zaporizhya,36-60 years,,
2018,cooperation in the community,Zaporizhya,36-60 years,,
2019,cooperation in the community,Zaporizhya,36-60 years,,
2017,cooperation in the community,Zaporizhya,over 61 years,,
2018,cooperation in the community,Zaporizhya,over 61 years,,
2019,cooperation in the community,Zaporizhya,over 61 years,,
2017,cooperation in the community,Zaporizhya,,males,
2018,cooperation in the community,Zaporizhya,,males,
2019,cooperation in the community,Zaporizhya,,males,
2017,cooperation in the community,Zaporizhya,,females,
2018,cooperation in the community,Zaporizhya,,females,
2019,cooperation in the community,Zaporizhya,,females,
2017,cooperation in the community,Kharkiv,18-35 years,,
2018,cooperation in the community,Kharkiv,18-35 years,,
2019,cooperation in the community,Kharkiv,18-35 years,,
2017,cooperation in the community,Kharkiv,36-60 years,,
2018,cooperation in the community,Kharkiv,36-60 years,,
2019,cooperation in the community,Kharkiv,36-60 years,,
2017,cooperation in the community,Kharkiv,over 61 years,,
2018,cooperation in the community,Kharkiv,over 61 years,,
2019,cooperation in the community,Kharkiv,over 61 years,,
2017,cooperation in the community,Kharkiv,,males,
2018,cooperation in the community,Kharkiv,,males,
2019,cooperation in the community,Kharkiv,,males,
2017,cooperation in the community,Kharkiv,,females,
2018,cooperation in the community,Kharkiv,,females,
2019,cooperation in the community,Kharkiv,,females,
2017,political security,Donetsk,18-35 years,,
2018,political security,Donetsk,18-35 years,,
2019,political security,Donetsk,18-35 years,,5.1
2017,political security,Donetsk,36-60 years,,
2018,political security,Donetsk,36-60 years,,
2019,political security,Donetsk,36-60 years,,4.8
2017,political security,Donetsk,over 61 years,,
2018,political security,Donetsk,over 61 years,,
2019,political security,Donetsk,over 61 years,,4.8
2017,political security,Donetsk,,males,
2018,political security,Donetsk,,males,
2019,political security,Donetsk,,males,5.2
2017,political security,Donetsk,,females,
2018,political security,Donetsk,,females,
2019,political security,Donetsk,,females,4.6
2017,political security,Luhansk,18-35 years,,
2018,political security,Luhansk,18-35 years,,
2019,political security,Luhansk,18-35 years,,4.7
2017,political security,Luhansk,36-60 years,,
2018,political security,Luhansk,36-60 years,,
2019,political security,Luhansk,36-60 years,,4.6
2017,political security,Luhansk,over 61 years,,
2018,political security,Luhansk,over 61 years,,
2019,political security,Luhansk,over 61 years,,4.4
2017,political security,Luhansk,,males,
2018,political security,Luhansk,,males,
2019,political security,Luhansk,,males,5.0
2017,political security,Luhansk,,females,
2018,political security,Luhansk,,females,
2019,political security,Luhansk,,females,4.3
2017,political security,Dnipropetrovsk,18-35 years,,
2018,political security,Dnipropetrovsk,18-35 years,,
2019,political security,Dnipropetrovsk,18-35 years,,
2017,political security,Dnipropetrovsk,36-60 years,,
2018,political security,Dnipropetrovsk,36-60 years,,
2019,political security,Dnipropetrovsk,36-60 years,,
2017,political security,Dnipropetrovsk,over 61 years,,
2018,political security,Dnipropetrovsk,over 61 years,,
2019,political security,Dnipropetrovsk,over 61 years,,
2017,political security,Dnipropetrovsk,,males,
2018,political security,Dnipropetrovsk,,males,
2019,political security,Dnipropetrovsk,,males,
2017,political security,Dnipropetrovsk,,females,
2018,political security,Dnipropetrovsk,,females,
2019,political security,Dnipropetrovsk,,females,
2017,political security,Zaporizhya,18-35 years,,
2018,political security,Zaporizhya,18-35 years,,
2019,political security,Zaporizhya,18-35 years,,
2017,political security,Zaporizhya,36-60 years,,
2018,political security,Zaporizhya,36-60 years,,
2019,political security,Zaporizhya,36-60 years,,
2017,political security,Zaporizhya,over 61 years,,
2018,political security,Zaporizhya,over 61 years,,
2019,political security,Zaporizhya,over 61 years,,
2017,political security,Zaporizhya,,males,
2018,political security,Zaporizhya,,males,
2019,political security,Zaporizhya,,males,
2017,political security,Zaporizhya,,females,
2018,political security,Zaporizhya,,females,
2019,political security,Zaporizhya,,females,
2017,political security,Kharkiv,18-35 years,,
2018,political security,Kharkiv,18-35 years,,
2019,political security,Kharkiv,18-35 years,,
2017,political security,Kharkiv,36-60 years,,
2018,political security,Kharkiv,36-60 years,,
2019,political security,Kharkiv,36-60 years,,
2017,political security,Kharkiv,over 61 years,,
2018,political security,Kharkiv,over 61 years,,
2019,political security,Kharkiv,over 61 years,,
2017,political security,Kharkiv,,males,
2018,political security,Kharkiv,,males,
2019,political security,Kharkiv,,males,
2017,political security,Kharkiv,,females,
2018,political security,Kharkiv,,females,
2019,political security,Kharkiv,,females,
